;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncf: Number of failed test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncs: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: number of successful test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nc: total number of test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nu:total number of test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ns: total number of successful test cases
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nf: total number of failed test cases

OCL37;SrcEAttribute.allInstances()->forAll(at | TrgConstant.allInstances()->select(c | Sequence{1..c.op.size()}->exists(i | Sequence{i..c.op.size()}->exists(j | c.op.substring(i,j)=at.name)))->size()>8)

Rules;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;TC11;TC12;TC13;TC14;TC15;TC16;TC17;TC18;TC19;TC20;TC21;TC22;TC23;TC24;TC25;TC26;TC27;TC28;TC29;TC30;TC31;TC32;TC33;TC34;TC35;TC36;TC37;TC38;TC39;TC40;TC41;TC42;TC43;TC44;TC45;TC46;TC47;TC48;TC49;TC50;TC51;TC52;TC53;TC54;TC55;TC56;TC57;TC58;TC59;TC60;TC61;TC62;TC63;TC64;TC65;TC66;TC67;TC68;TC69;TC70;TC71;TC72;TC73;TC74;TC75;TC76;TC77;TC78;TC79;TC80;TC81;TC82;TC83;TC84;TC85;TC86;TC87;TC88;TC89;TC90;TC91;TC92;TC93;TC94;TC95;TC96;TC97;TC98;TC99;TC100;Ncf;Nuf;Ncs;Nus;Nc;Nu;Ns;Nf;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;
MetamodelEqPackages;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;18.0;0.0;82.0;0.0;100.0;0.0;82.0;18.0;0.0;0.18;0.18;0.59;0.18000000000000005;0.0;0.024390243902439025;0.18;0.4242640687119285;0.0;17.012048192771083;0.18;0.18;0.0;0.0;0.0989010989010989;3.951219512195122;0.5;
EnumLitConstant;;;;;X;;;;;;;X;;;;;X;;;X;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;X;;;;;;;X;;;;;;;;;;;;;;;X;;;;;;;X;;;;;;;;;;;;;;X;;;;1.0;17.0;9.0;73.0;10.0;90.0;82.0;18.0;-0.06557377049180328;0.05555555555555555;0.74;0.07777777777777778;0.09999999999999998;-0.06734006734006734;0.006024096385542169;6.535832374199933E-7;0.07453559924999299;-0.06941056083938048;0.891566265060241;0.01;0.26851234356441434;0.053865652724968315;0.06333164190995488;0.5873015873015873;0.038461538461538464;0.3360655737704918;
ClassEqSuperTypes;;;X;;;X;;X;;;X;;;X;;X;X;;;;;;;;X;;;;;;;;X;X;X;X;;;;;X;X;;X;X;;X;X;X;;;;;;;;;;;X;X;;X;X;;;X;;;;;X;;X;;;;X;X;;X;;X;;X;X;;;X;;;;X;;;X;X;X;;X;18.0;0.0;20.0;62.0;38.0;62.0;82.0;18.0;0.5274102079395085;0.47368421052631576;0.8;0.7368421052631579;0.4736842105263158;0.5824634655532359;0.1;0.47368421052631576;0.6882472016116853;0.5984575809960173;17.759036144578314;0.18;0.7199137912792762;0.0;0.5984254902907015;0.6666666666666666;16.2;0.803921568627451;
AttEqSpecificDefaultValue;;;X;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;X;;;;;;X;;X;X;;;X;;;;;;;;;;;;;;;X;X;;;;;;;;X;;X;;;;X;;;;;;;;;;;X;;;;X;;;X;X;;;;16.0;2.0;0.0;82.0;16.0;84.0;82.0;18.0;0.9291784702549575;0.8888888888888888;0.98;0.9444444444444444;1.0;0.9304964539007092;1.0;0.8888888888888888;0.9428090415820635;0.931517508007696;16.0;0.16;0.9631142903794541;0.08888888888888889;0.9314513751369796;0.9607843137254902;128.0;1.0;
EqLowerBound;;;X;;;;;;;;;;;X;;X;;;;;;;;;;;;;;;;;;;;X;;;;;X;X;;X;X;;;X;X;;;;;;;;;;;;X;;X;X;;;X;;;;;X;;X;;;;X;X;;;;;;;X;;;X;;;;X;;;X;X;X;;;18.0;0.0;6.0;76.0;24.0;76.0;82.0;18.0;0.8201438848920863;0.75;0.94;0.875;0.75;0.8290909090909091;0.3333333333333333;0.75;0.8660254037844386;0.8337397382993761;17.927710843373493;0.18;0.9016175453195919;0.0;0.8336889283879012;0.8867924528301887;54.0;0.9318181818181818;
AttEqIsId;;;X;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;X;;;;;;X;;X;X;;;X;X;;;;;;;;;;;;;;X;X;;;;;;;;X;;X;;;;X;;;;;;;;;;;X;;;;X;;;X;X;X;;;18.0;0.0;0.0;82.0;18.0;82.0;82.0;18.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;18.0;0.18;1.0;0.0;0.9999322539123366;1.0;1.0;1.0;
EqIsOrdered;;;X;;;;;;;;;;;X;;X;;;;;;;;;;;;;;;;;;;;X;;;;;X;X;;X;X;;;X;X;;;;;;;;;;;;X;;X;X;;;X;;;;;X;;X;;;;X;X;;;;;;;X;;;X;;;;X;;;X;X;X;;;18.0;0.0;6.0;76.0;24.0;76.0;82.0;18.0;0.8201438848920863;0.75;0.94;0.875;0.75;0.8290909090909091;0.3333333333333333;0.75;0.8660254037844386;0.8337397382993761;17.927710843373493;0.18;0.9016175453195919;0.0;0.8336889283879012;0.8867924528301887;54.0;0.9318181818181818;
Initialize;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;18.0;0.0;82.0;0.0;100.0;0.0;82.0;18.0;0.0;0.18;0.18;0.59;0.18000000000000005;0.0;0.024390243902439025;0.18;0.4242640687119285;0.0;17.012048192771083;0.18;0.18;0.0;0.0;0.0989010989010989;3.951219512195122;0.5;
EnumLitList;;;;;X;;;;;;;X;;;;;X;;;X;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;X;;;;;;;X;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0.0;18.0;8.0;74.0;8.0;92.0;82.0;18.0;-0.1245674740484429;0.0;0.74;0.0;0.0;-0.1301989150090416;0.0;0.0;0.0;-0.1381593897175512;-0.0963855421686747;0.0;0.0;0.044226044226044224;0.0;0.5873015873015873;0.0;0.0;
RefEqOpposite;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;X;X;;;;;;X;;;;;;;;;;;;;X;;;X;;;X;;;;;X;;;;;;X;X;;;;;;;X;;;X;;;;X;;;;;X;;;8.0;10.0;6.0;76.0;14.0;86.0;82.0;18.0;0.4065281899109792;0.4444444444444444;0.84;0.5079365079365079;0.5714285714285714;0.408955223880597;0.06451612903225806;1.0663254425250586E-4;0.5039526306789696;0.41107790664566357;7.927710843373494;0.08;0.6711719940620471;0.06809338521400778;0.4560522261699233;0.7241379310344828;4.0;0.8586387434554974;
